method,rep,elapsed_secs,best_score
gen,3,1530,-1050000000000
gen,3,1560,-1050000000000
gen,3,1590,-1050000000000
gen,3,1620,-1050000000000
gen,3,1650,-1050000000000
gen,3,1680,-1050000000000
gen,3,1710,-1050000000000
gen,3,1740,-1050000000000
gen,3,1770,-1050000000000
gen,3,1800,-1050000000000
gen,3,1830,-1050000000000
gen,3,1860,-1050000000000
gen,3,1890,-1050000000000
gen,3,1920,-1050000000000
gen,3,1950,-1050000000000
gen,3,1980,-1050000000000
gen,3,2010,-1050000000000
gen,3,2040,-1050000000000
gen,3,2070,-1050000000000
gen,3,2100,-1050000000000
gen,3,2130,-1050000000000
gen,3,2160,-1050000000000
gen,3,2190,-1050000000000
gen,3,2220,-1050000000000
gen,3,2250,-1050000000000
gen,3,2280,-1050000000000
gen,3,2310,-1050000000000
gen,3,2340,-1050000000000
gen,3,2370,-1050000000000
gen,3,2400,-1050000000000
sa,3,60,-4880000000000
sa,3,90,-4880000000000
sa,3,120,-4470000000000
sa,3,150,-4470000000000
sa,3,180,-4470000000000
sa,3,210,-4470000000000
sa,3,240,-1340000000000
sa,3,270,-1340000000000
sa,3,300,-1340000000000
sa,3,330,-1340000000000
sa,3,360,-1340000000000
sa,3,390,-1340000000000
sa,3,420,-1340000000000
sa,3,450,-1340000000000
sa,3,480,-1340000000000
sa,3,510,-1340000000000
sa,3,540,-1340000000000
sa,3,570,-1340000000000
sa,3,600,-1310000000000
sa,3,630,-1310000000000
sa,3,660,-1310000000000
sa,3,690,-1310000000000
sa,3,720,-1310000000000
sa,3,750,-1310000000000
sa,3,780,-1310000000000
sa,3,810,-1200000000000
sa,3,840,-1200000000000
sa,3,870,-1200000000000
sa,3,900,-1200000000000
sa,3,930,-1200000000000
sa,3,960,-1200000000000
sa,3,990,-1200000000000
sa,3,1020,-1200000000000
sa,3,1050,-1200000000000
sa,3,1080,-1200000000000
sa,3,1110,-1190000000000
sa,3,1140,-1190000000000
sa,3,1170,-1180000000000
sa,3,1200,-1180000000000
sa,3,1230,-1180000000000
sa,3,1260,-1180000000000
sa,3,1290,-1180000000000
sa,3,1320,-1180000000000
sa,3,1350,-1180000000000
sa,3,1380,-1180000000000
sa,3,1410,-1180000000000
sa,3,1440,-1180000000000
sa,3,1470,-1180000000000
sa,3,1500,-1180000000000
sa,3,1530,-1180000000000
sa,3,1560,-1180000000000
sa,3,1590,-1180000000000
sa,3,1620,-1180000000000
sa,3,1650,-1180000000000
sa,3,1680,-1180000000000
sa,3,1710,-1180000000000
sa,3,1740,-1180000000000
sa,3,1770,-1180000000000
sa,3,1800,-1180000000000
sa,3,1830,-1180000000000
sa,3,1860,-1180000000000
sa,3,1890,-1180000000000
sa,3,1920,-1180000000000
sa,3,1950,-1180000000000
sa,3,1980,-1180000000000
sa,3,2010,-1180000000000
sa,3,2040,-1180000000000
sa,3,2070,-1180000000000
sa,3,2100,-1180000000000
sa,3,2130,-1180000000000
sa,3,2160,-1140000000000
